
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  5.01	GYRY_Angle  2.12	GYRZ_Angle  2.25		CFangleX_Angle -179.87	CFangleY_Angle -162.33		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  5.04	GYRY_Angle  2.14	GYRZ_Angle  2.27		CFangleX_Angle -179.86	CFangleY_Angle -162.35		HEADING  352.95	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.51		GRYX_Angle  5.06	GYRY_Angle  2.17	GYRZ_Angle  2.30		CFangleX_Angle -179.87	CFangleY_Angle -162.36		HEADING  354.23	tiltCompensatedHeading 284.85
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.08	GYRY_Angle  2.19	GYRZ_Angle  2.32		CFangleX_Angle -179.87	CFangleY_Angle -162.28		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.12	GYRY_Angle  2.22	GYRZ_Angle  2.34		CFangleX_Angle -179.86	CFangleY_Angle -162.21		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.14	GYRY_Angle  2.24	GYRZ_Angle  2.37		CFangleX_Angle -179.86	CFangleY_Angle -162.16		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.17	GYRY_Angle  2.27	GYRZ_Angle  2.39		CFangleX_Angle -179.85	CFangleY_Angle -162.11		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.20	GYRY_Angle  2.30	GYRZ_Angle  2.42		CFangleX_Angle -179.85	CFangleY_Angle -162.08		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.23	GYRY_Angle  2.33	GYRZ_Angle  2.45		CFangleX_Angle -179.85	CFangleY_Angle -162.05		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.26	GYRY_Angle  2.36	GYRZ_Angle  2.48		CFangleX_Angle -179.85	CFangleY_Angle -162.02		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.05		GRYX_Angle  5.28	GYRY_Angle  2.38	GYRZ_Angle  2.50		CFangleX_Angle -179.86	CFangleY_Angle -162.01		HEADING  354.23	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.87		GRYX_Angle  5.31	GYRY_Angle  2.41	GYRZ_Angle  2.53		CFangleX_Angle -179.86	CFangleY_Angle -161.96		HEADING  354.44	tiltCompensatedHeading 254.30
